epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.588,1.50808,2.83144,1.21828,0.04733,0.02305,0.03467,0.01403,3.84159,3.8485,2.20028,0.0677333,0.000325926,0.000325926
2,278.514,1.37155,1.3141,1.19472,0.71116,0.16549,0.23421,0.138,1.89696,1.77683,1.38998,0.034729,0.000654908,0.000654908
3,359.961,1.32141,1.09657,1.14592,0.62571,0.29858,0.32879,0.22009,1.36362,1.17281,1.25459,0.00172023,0.00097949,0.00097949
4,442.012,1.29313,1.03267,1.18249,0.60566,0.31779,0.3545,0.24558,1.29155,1.04039,1.19081,0.0009802,0.0009802,0.0009802
5,523.248,1.26756,0.95064,1.17519,0.65928,0.33108,0.3691,0.25109,1.26266,0.97381,1.17881,0.0009736,0.0009736,0.0009736
6,603.905,1.27154,1.02876,1.17729,0.66985,0.32393,0.36529,0.24962,1.28444,1.04997,1.23388,0.000967,0.000967,0.000967
7,685.578,1.27662,0.92968,1.15882,0.67647,0.33613,0.38088,0.26268,1.251,1.03073,1.18514,0.0009604,0.0009604,0.0009604
8,768.084,1.2292,0.89959,1.16921,0.62432,0.33342,0.37598,0.25742,1.23936,0.98681,1.18055,0.0009538,0.0009538,0.0009538
9,852.174,1.22127,0.88398,1.14466,0.66004,0.3295,0.38654,0.26382,1.26861,1.00273,1.20185,0.0009472,0.0009472,0.0009472
10,935.958,1.21872,0.89348,1.14024,0.70063,0.36037,0.39961,0.27636,1.22293,0.95022,1.18345,0.0009406,0.0009406,0.0009406
11,1017.87,1.2225,0.88327,1.14791,0.68963,0.34131,0.38129,0.262,1.20683,0.96537,1.16893,0.000934,0.000934,0.000934
12,1098,1.15812,0.87601,1.15528,0.63863,0.35821,0.40423,0.27826,1.23089,0.94115,1.18048,0.0009274,0.0009274,0.0009274
13,1179.73,1.19595,0.84988,1.14554,0.66283,0.35336,0.39659,0.27549,1.20859,0.9243,1.18219,0.0009208,0.0009208,0.0009208
14,1262.57,1.18526,0.84906,1.15618,0.67563,0.35448,0.38982,0.27296,1.20043,0.91634,1.15571,0.0009142,0.0009142,0.0009142
15,1344.89,1.20546,0.85179,1.15414,0.71909,0.35919,0.40349,0.28076,1.19713,0.9095,1.15953,0.0009076,0.0009076,0.0009076
16,1426.97,1.18128,0.84813,1.13693,0.6282,0.36037,0.39645,0.27536,1.21501,0.92458,1.18136,0.000901,0.000901,0.000901
17,1511.66,1.19817,0.84539,1.14271,0.69504,0.35846,0.40219,0.28268,1.17336,0.90072,1.16556,0.0008944,0.0008944,0.0008944
18,1594.25,1.17927,0.82266,1.13495,0.66334,0.35349,0.39455,0.27376,1.20399,0.93912,1.1918,0.0008878,0.0008878,0.0008878
19,1675.8,1.17138,0.80891,1.1269,0.71082,0.36138,0.40001,0.27912,1.19074,0.90506,1.16946,0.0008812,0.0008812,0.0008812
20,1757.22,1.17468,0.90587,1.1512,0.77231,0.34489,0.39809,0.27664,1.18931,0.9443,1.17194,0.0008746,0.0008746,0.0008746
21,1841.19,1.17924,0.86501,1.13027,0.72356,0.36173,0.40201,0.27828,1.18657,0.92142,1.17736,0.000868,0.000868,0.000868
22,1926.11,1.18829,0.80922,1.15614,0.66158,0.35995,0.41112,0.28899,1.19892,0.96894,1.16483,0.0008614,0.0008614,0.0008614
23,2006.05,1.15027,0.79591,1.14042,0.68633,0.36705,0.41345,0.28639,1.19245,0.89499,1.19945,0.0008548,0.0008548,0.0008548
24,2088.98,1.17156,0.80851,1.13071,0.65362,0.36646,0.41193,0.28642,1.18361,0.90504,1.15106,0.0008482,0.0008482,0.0008482
25,2169.96,1.14847,0.79494,1.12979,0.73077,0.36539,0.41534,0.28708,1.21002,0.90886,1.19596,0.0008416,0.0008416,0.0008416
26,2251.41,1.1928,0.83163,1.13793,0.70715,0.37377,0.41078,0.28815,1.18279,0.89426,1.17879,0.000835,0.000835,0.000835
27,2332.5,1.12416,0.79909,1.1534,0.72067,0.37663,0.41688,0.29476,1.166,0.88044,1.16685,0.0008284,0.0008284,0.0008284
28,2413.32,1.18425,0.83997,1.14106,0.71686,0.37115,0.40987,0.28449,1.19553,0.91216,1.1876,0.0008218,0.0008218,0.0008218
29,2494.49,1.1156,0.79333,1.15532,0.69075,0.37498,0.41389,0.29376,1.16713,0.87599,1.15957,0.0008152,0.0008152,0.0008152
30,2577.94,1.14025,0.7813,1.13017,0.73736,0.3684,0.41243,0.28777,1.19945,0.92248,1.1705,0.0008086,0.0008086,0.0008086
31,2657.49,1.10288,0.77779,1.14669,0.73728,0.37784,0.4207,0.29352,1.15362,0.86557,1.16845,0.000802,0.000802,0.000802
32,2742.55,1.14366,0.81785,1.11032,0.72909,0.35843,0.40829,0.28489,1.18344,0.92551,1.16866,0.0007954,0.0007954,0.0007954
33,2828.3,1.11338,0.76755,1.12877,0.72816,0.3619,0.41217,0.288,1.18807,0.89037,1.17151,0.0007888,0.0007888,0.0007888
34,2909.15,1.1202,0.78899,1.12398,0.68637,0.38041,0.41585,0.29366,1.15999,0.88186,1.16555,0.0007822,0.0007822,0.0007822
35,2992.76,1.17544,0.83783,1.11068,0.74751,0.37429,0.42405,0.29636,1.16366,0.8626,1.16123,0.0007756,0.0007756,0.0007756
36,3072.26,1.11962,0.77183,1.11676,0.70258,0.37445,0.41016,0.28865,1.17642,0.87992,1.16658,0.000769,0.000769,0.000769
37,3153.96,1.15757,0.80643,1.11792,0.74513,0.36834,0.42152,0.2939,1.1595,0.87708,1.17838,0.0007624,0.0007624,0.0007624
38,3237.39,1.09674,0.75441,1.11196,0.69548,0.37688,0.40892,0.28457,1.16359,0.88726,1.15454,0.0007558,0.0007558,0.0007558
